effect,metric,paired_n,mean_diff,ci95_low,ci95_high,nonzero_n,positive,negative,two_sided_p,decision
controller,readability,18,0.0,0.0,0.0,0,0,0,,inconclusive
controller,depth,18,0.16666666666666666,-0.16666666666666666,0.5,9,6,3,0.5078125,inconclusive
controller,breadth,18,0.05555555555555555,-0.1111111111111111,0.2222222222222222,3,2,1,1.0,inconclusive
controller,source_groundedness,18,-0.002777777777777762,-0.011666666666666615,0.006666666666666672,15,6,9,0.60723876953125,inconclusive
controller,overclaim_rate,18,-0.0033333333333333335,-0.01388888888888889,0.0077777777777777776,14,6,8,0.79052734375,inconclusive
controller,unsupported_rate,18,-1.927470528863119e-19,-0.010555555555555558,0.011111111111111112,16,8,8,1.0,inconclusive
controller,unverifiable_rate,18,0.0027777777777777775,-0.004444444444444445,0.010555555555555556,14,8,6,0.79052734375,inconclusive
controller,provenance_completeness,18,0.0016666666666666744,-0.014444444444444407,0.0188888888888889,12,6,6,1.0,inconclusive
controller,internal_leakage,18,0.0,0.0,0.0,0,0,0,,inconclusive
mcp_surface,readability,18,0.0,0.0,0.0,0,0,0,,inconclusive
mcp_surface,depth,18,0.05555555555555555,-0.16666666666666666,0.2777777777777778,5,3,2,1.0,inconclusive
mcp_surface,breadth,18,-0.05555555555555555,-0.2222222222222222,0.1111111111111111,3,1,2,1.0,inconclusive
mcp_surface,source_groundedness,18,0.0038888888888888983,-0.006111111111111085,0.014444444444444446,16,10,6,0.454498291015625,inconclusive
mcp_surface,overclaim_rate,18,0.003333333333333333,-0.0077777777777777776,0.01388888888888889,17,9,8,1.0,inconclusive
mcp_surface,unsupported_rate,18,-0.006666666666666667,-0.01888888888888889,0.004444444444444447,15,6,9,0.60723876953125,inconclusive
mcp_surface,unverifiable_rate,18,-0.004999999999999999,-0.012777777777777779,0.0038888888888888896,13,3,10,0.09228515625,inconclusive
mcp_surface,provenance_completeness,18,0.01388888888888887,-0.0061111111111111106,0.03444444444444439,14,9,5,0.4239501953125,inconclusive
mcp_surface,internal_leakage,18,0.0,0.0,0.0,0,0,0,,inconclusive
