block_id,effect,cell_a,cell_b,winner,metric,notes
M1,controller,C1,C0,C0,readability,diff=-0.2500
M1,controller,C1,C0,C1,depth,diff=0.2500
M1,controller,C1,C0,C1,breadth,diff=0.2500
M1,controller,C1,C0,C0,source_groundedness,diff=-0.0100
M1,controller,C1,C0,C1,overclaim_rate,diff=-0.0050
M1,controller,C1,C0,C0,unsupported_rate,diff=0.0100
M1,controller,C1,C0,C0,unverifiable_rate,diff=0.0225
M1,controller,C1,C0,C1,provenance_completeness,diff=0.0050
M1,controller,C1,C0,tie,internal_leakage,diff=0.0000
M1,generator,G1,G0,G0,readability,diff=-0.2500
M1,generator,G1,G0,G0,depth,diff=-0.7500
M1,generator,G1,G0,G0,breadth,diff=-0.7500
M1,generator,G1,G0,G0,source_groundedness,diff=-0.0050
M1,generator,G1,G0,G0,overclaim_rate,diff=0.0150
M1,generator,G1,G0,G0,unsupported_rate,diff=0.0100
M1,generator,G1,G0,G1,unverifiable_rate,diff=-0.0025
M1,generator,G1,G0,G0,provenance_completeness,diff=-0.0300
M1,generator,G1,G0,tie,internal_leakage,diff=0.0000
M1,mcp_surface,M1,M0,M0,readability,diff=-0.2500
M1,mcp_surface,M1,M0,M0,depth,diff=-0.2500
M1,mcp_surface,M1,M0,M0,breadth,diff=-0.2500
M1,mcp_surface,M1,M0,M0,source_groundedness,diff=-0.0200
M1,mcp_surface,M1,M0,M0,overclaim_rate,diff=0.0150
M1,mcp_surface,M1,M0,M0,unsupported_rate,diff=0.0200
M1,mcp_surface,M1,M0,M0,unverifiable_rate,diff=0.0275
M1,mcp_surface,M1,M0,M1,provenance_completeness,diff=0.0050
M1,mcp_surface,M1,M0,tie,internal_leakage,diff=0.0000
M2,controller,C1,C0,tie,readability,diff=0.0000
M2,controller,C1,C0,C0,depth,diff=-0.2500
M2,controller,C1,C0,C0,breadth,diff=-0.2500
M2,controller,C1,C0,C0,source_groundedness,diff=-0.0025
M2,controller,C1,C0,C1,overclaim_rate,diff=-0.0025
M2,controller,C1,C0,C0,unsupported_rate,diff=0.0050
M2,controller,C1,C0,C0,unverifiable_rate,diff=0.0075
M2,controller,C1,C0,C0,provenance_completeness,diff=-0.0150
M2,controller,C1,C0,tie,internal_leakage,diff=0.0000
M2,generator,G1,G0,tie,readability,diff=0.0000
M2,generator,G1,G0,G0,depth,diff=-0.2500
M2,generator,G1,G0,G0,breadth,diff=-0.2500
M2,generator,G1,G0,G0,source_groundedness,diff=-0.0075
M2,generator,G1,G0,G1,overclaim_rate,diff=-0.0025
M2,generator,G1,G0,tie,unsupported_rate,diff=0.0000
M2,generator,G1,G0,G0,unverifiable_rate,diff=0.0025
M2,generator,G1,G0,G0,provenance_completeness,diff=-0.0100
M2,generator,G1,G0,tie,internal_leakage,diff=0.0000
M2,mcp_surface,M1,M0,tie,readability,diff=0.0000
M2,mcp_surface,M1,M0,M1,depth,diff=0.2500
M2,mcp_surface,M1,M0,M1,breadth,diff=0.2500
M2,mcp_surface,M1,M0,M1,source_groundedness,diff=0.0025
M2,mcp_surface,M1,M0,M1,overclaim_rate,diff=-0.0025
M2,mcp_surface,M1,M0,M1,unsupported_rate,diff=-0.0050
M2,mcp_surface,M1,M0,M1,unverifiable_rate,diff=-0.0075
M2,mcp_surface,M1,M0,M1,provenance_completeness,diff=0.0250
M2,mcp_surface,M1,M0,tie,internal_leakage,diff=0.0000
M3,controller,C1,C0,tie,readability,diff=0.0000
M3,controller,C1,C0,tie,depth,diff=0.0000
M3,controller,C1,C0,C0,breadth,diff=-0.7500
M3,controller,C1,C0,C0,source_groundedness,diff=-0.0200
M3,controller,C1,C0,C0,overclaim_rate,diff=0.0275
M3,controller,C1,C0,C0,unsupported_rate,diff=0.0075
M3,controller,C1,C0,tie,unverifiable_rate,diff=0.0000
M3,controller,C1,C0,C0,provenance_completeness,diff=-0.0175
M3,controller,C1,C0,tie,internal_leakage,diff=0.0000
M3,generator,G1,G0,tie,readability,diff=0.0000
M3,generator,G1,G0,tie,depth,diff=0.0000
M3,generator,G1,G0,G0,breadth,diff=-0.2500
M3,generator,G1,G0,G1,source_groundedness,diff=0.0200
M3,generator,G1,G0,G1,overclaim_rate,diff=-0.0275
M3,generator,G1,G0,G1,unsupported_rate,diff=-0.0175
M3,generator,G1,G0,G1,unverifiable_rate,diff=-0.0150
M3,generator,G1,G0,G0,provenance_completeness,diff=-0.0025
M3,generator,G1,G0,tie,internal_leakage,diff=0.0000
M3,mcp_surface,M1,M0,tie,readability,diff=0.0000
M3,mcp_surface,M1,M0,tie,depth,diff=0.0000
M3,mcp_surface,M1,M0,M0,breadth,diff=-0.2500
M3,mcp_surface,M1,M0,tie,source_groundedness,diff=0.0000
M3,mcp_surface,M1,M0,M0,overclaim_rate,diff=0.0225
M3,mcp_surface,M1,M0,M0,unsupported_rate,diff=0.0075
M3,mcp_surface,M1,M0,tie,unverifiable_rate,diff=0.0000
M3,mcp_surface,M1,M0,M1,provenance_completeness,diff=0.0075
M3,mcp_surface,M1,M0,tie,internal_leakage,diff=0.0000
M4,controller,C1,C0,tie,readability,diff=0.0000
M4,controller,C1,C0,C1,depth,diff=1.0000
M4,controller,C1,C0,tie,breadth,diff=0.0000
M4,controller,C1,C0,C1,source_groundedness,diff=0.0075
M4,controller,C1,C0,C1,overclaim_rate,diff=-0.0175
M4,controller,C1,C0,C1,unsupported_rate,diff=-0.0125
M4,controller,C1,C0,C1,unverifiable_rate,diff=-0.0050
M4,controller,C1,C0,C1,provenance_completeness,diff=0.0200
M4,controller,C1,C0,tie,internal_leakage,diff=0.0000
M4,generator,G1,G0,tie,readability,diff=0.0000
M4,generator,G1,G0,tie,depth,diff=0.0000
M4,generator,G1,G0,tie,breadth,diff=0.0000
M4,generator,G1,G0,G1,source_groundedness,diff=0.0125
M4,generator,G1,G0,G1,overclaim_rate,diff=-0.0125
M4,generator,G1,G0,G1,unsupported_rate,diff=-0.0175
M4,generator,G1,G0,G1,unverifiable_rate,diff=-0.0100
M4,generator,G1,G0,G1,provenance_completeness,diff=0.0050
M4,generator,G1,G0,tie,internal_leakage,diff=0.0000
M4,mcp_surface,M1,M0,tie,readability,diff=0.0000
M4,mcp_surface,M1,M0,tie,depth,diff=0.0000
M4,mcp_surface,M1,M0,tie,breadth,diff=0.0000
M4,mcp_surface,M1,M0,M1,source_groundedness,diff=0.0025
M4,mcp_surface,M1,M0,M1,overclaim_rate,diff=-0.0075
M4,mcp_surface,M1,M0,M1,unsupported_rate,diff=-0.0025
M4,mcp_surface,M1,M0,M1,unverifiable_rate,diff=-0.0100
M4,mcp_surface,M1,M0,M1,provenance_completeness,diff=0.0350
M4,mcp_surface,M1,M0,tie,internal_leakage,diff=0.0000
M5,controller,C1,C0,tie,readability,diff=0.0000
M5,controller,C1,C0,C1,depth,diff=0.5000
M5,controller,C1,C0,C1,breadth,diff=0.2500
M5,controller,C1,C0,C1,source_groundedness,diff=0.0050
M5,controller,C1,C0,C1,overclaim_rate,diff=-0.0025
M5,controller,C1,C0,C0,unsupported_rate,diff=0.0025
M5,controller,C1,C0,C1,unverifiable_rate,diff=-0.0000
M5,controller,C1,C0,C1,provenance_completeness,diff=0.0350
M5,controller,C1,C0,tie,internal_leakage,diff=0.0000
M5,generator,G1,G0,tie,readability,diff=0.0000
M5,generator,G1,G0,G0,depth,diff=-0.5000
M5,generator,G1,G0,G0,breadth,diff=-0.2500
M5,generator,G1,G0,G0,source_groundedness,diff=-0.0250
M5,generator,G1,G0,G0,overclaim_rate,diff=0.0375
M5,generator,G1,G0,G0,unsupported_rate,diff=0.0375
M5,generator,G1,G0,G0,unverifiable_rate,diff=0.0200
M5,generator,G1,G0,tie,provenance_completeness,diff=0.0000
M5,generator,G1,G0,tie,internal_leakage,diff=0.0000
M5,mcp_surface,M1,M0,tie,readability,diff=0.0000
M5,mcp_surface,M1,M0,M1,depth,diff=0.5000
M5,mcp_surface,M1,M0,M1,breadth,diff=0.2500
M5,mcp_surface,M1,M0,M1,source_groundedness,diff=0.0100
M5,mcp_surface,M1,M0,M0,overclaim_rate,diff=0.0025
M5,mcp_surface,M1,M0,M1,unsupported_rate,diff=-0.0175
M5,mcp_surface,M1,M0,M1,unverifiable_rate,diff=-0.0100
M5,mcp_surface,M1,M0,M1,provenance_completeness,diff=0.0100
M5,mcp_surface,M1,M0,tie,internal_leakage,diff=0.0000
M6,controller,C1,C0,tie,readability,diff=0.0000
M6,controller,C1,C0,C0,depth,diff=-0.2500
M6,controller,C1,C0,C0,breadth,diff=-0.2500
M6,controller,C1,C0,C0,source_groundedness,diff=-0.0075
M6,controller,C1,C0,C0,overclaim_rate,diff=0.0125
M6,controller,C1,C0,C0,unsupported_rate,diff=0.0125
M6,controller,C1,C0,C1,unverifiable_rate,diff=-0.0025
M6,controller,C1,C0,C0,provenance_completeness,diff=-0.0250
M6,controller,C1,C0,tie,internal_leakage,diff=0.0000
M6,generator,G1,G0,tie,readability,diff=0.0000
M6,generator,G1,G0,G0,depth,diff=-0.2500
M6,generator,G1,G0,G0,breadth,diff=-0.7500
M6,generator,G1,G0,G0,source_groundedness,diff=-0.0175
M6,generator,G1,G0,G0,overclaim_rate,diff=0.0225
M6,generator,G1,G0,G0,unsupported_rate,diff=0.0075
M6,generator,G1,G0,G0,unverifiable_rate,diff=0.0025
M6,generator,G1,G0,G0,provenance_completeness,diff=-0.0250
M6,generator,G1,G0,tie,internal_leakage,diff=0.0000
M6,mcp_surface,M1,M0,tie,readability,diff=0.0000
M6,mcp_surface,M1,M0,M1,depth,diff=0.2500
M6,mcp_surface,M1,M0,M0,breadth,diff=-0.2500
M6,mcp_surface,M1,M0,M0,source_groundedness,diff=-0.0225
M6,mcp_surface,M1,M0,M0,overclaim_rate,diff=0.0175
M6,mcp_surface,M1,M0,M0,unsupported_rate,diff=0.0125
M6,mcp_surface,M1,M0,M0,unverifiable_rate,diff=0.0075
M6,mcp_surface,M1,M0,tie,provenance_completeness,diff=0.0000
M6,mcp_surface,M1,M0,tie,internal_leakage,diff=0.0000
M7,controller,C1,C0,tie,readability,diff=0.0000
M7,controller,C1,C0,tie,depth,diff=0.0000
M7,controller,C1,C0,tie,breadth,diff=0.0000
M7,controller,C1,C0,tie,source_groundedness,diff=0.0000
M7,controller,C1,C0,C1,overclaim_rate,diff=-0.0025
M7,controller,C1,C0,C0,unsupported_rate,diff=0.0025
M7,controller,C1,C0,tie,unverifiable_rate,diff=0.0000
M7,controller,C1,C0,tie,provenance_completeness,diff=0.0000
M7,controller,C1,C0,tie,internal_leakage,diff=0.0000
M7,generator,G1,G0,tie,readability,diff=0.0000
M7,generator,G1,G0,tie,depth,diff=0.0000
M7,generator,G1,G0,tie,breadth,diff=0.0000
M7,generator,G1,G0,G1,source_groundedness,diff=0.0050
M7,generator,G1,G0,G1,overclaim_rate,diff=-0.0025
