phase,run_id,fixture_id,fixture_class,seed,variant,status,process_score,depth,breadth,goal_preservation,investigation_discipline,narrowing_harm,hard_failure,soft_failure,failure_class,judge_id,unique_source_refs,tool_commands,facet_coverage_rate,repetition_jaccard,generated_as_source_incidents,contamination_flag,raw_process_score,raw_facet_coverage_rate,raw_generated_as_source_incidents,scorer_mask_applied,scorer_mask_score_delta
pilot,pilot-F01-S0-current-seed-9001-attempt-1,F01,broad-open,9001,S0-current,completed,94.0000,30.0000,25.0000,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,14,60,1.0000,0.2082,0,0,94.0000,1.0000,0,1,0.0000
pilot,pilot-F01-S0-current-seed-9002-attempt-1,F01,broad-open,9002,S0-current,completed,92.7500,30.0000,23.7500,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,14,60,1.0000,0.2227,0,0,92.7500,1.0000,0,1,0.0000
pilot,pilot-F01-S1-layered-seed-9001-attempt-1,F01,broad-open,9001,S1-layered,completed,96.0000,30.0000,25.0000,26.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,14,72,1.0000,0.2314,0,0,96.0000,1.0000,0,0,0.0000
pilot,pilot-F01-S1-layered-seed-9002-attempt-1,F01,broad-open,9002,S1-layered,completed,98.0000,30.0000,25.0000,28.0000,15.0000,1,0,0,,deterministic-process-scorer-v1,14,82,1.0000,0.2092,0,0,98.0000,1.0000,0,0,0.0000
pilot,pilot-F04-S0-current-seed-9001-attempt-1,F04,narrow-directed,9001,S0-current,completed,96.2500,30.0000,21.2500,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,15,94,1.0000,0.2250,0,0,96.2500,1.0000,0,1,0.0000
pilot,pilot-F04-S0-current-seed-9002-attempt-1,F04,narrow-directed,9002,S0-current,completed,98.2500,30.0000,23.2500,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,15,72,1.0000,0.1828,0,0,98.2500,1.0000,0,1,0.0000
pilot,pilot-F04-S1-layered-seed-9001-attempt-1,F04,narrow-directed,9001,S1-layered,completed,99.5219,30.0000,25.0000,30.0000,14.5219,,0,0,,deterministic-process-scorer-v1,17,46,1.0000,0.2639,0,0,99.5219,1.0000,0,1,0.0000
pilot,pilot-F04-S1-layered-seed-9002-attempt-1,F04,narrow-directed,9002,S1-layered,completed,93.4810,30.0000,20.5000,28.0000,14.9810,,0,0,,deterministic-process-scorer-v1,14,100,1.0000,0.2410,0,0,93.4810,1.0000,0,1,0.0000
pilot,pilot-F06-S0-current-seed-9001-attempt-1,F06,ambiguous-intent,9001,S0-current,completed,98.7500,30.0000,23.7500,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,11,32,1.0000,0.2184,0,0,98.7500,1.0000,0,0,0.0000
pilot,pilot-F06-S0-current-seed-9002-attempt-1,F06,ambiguous-intent,9002,S0-current,completed,94.5500,27.8000,23.7500,28.0000,15.0000,,0,0,,deterministic-process-scorer-v1,9,32,1.0000,0.2366,0,0,94.5500,1.0000,0,1,0.0000
pilot,pilot-F06-S1-layered-seed-9001-attempt-1,F06,ambiguous-intent,9001,S1-layered,completed,99.1172,30.0000,25.0000,30.0000,14.1172,,0,0,,deterministic-process-scorer-v1,11,64,1.0000,0.2841,0,0,99.1172,1.0000,0,0,0.0000
pilot,pilot-F06-S1-layered-seed-9002-attempt-1,F06,ambiguous-intent,9002,S1-layered,completed,99.4000,29.4000,25.0000,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,9,40,1.0000,0.2395,0,0,99.4000,1.0000,0,0,0.0000
pilot,pilot-F08-S0-current-seed-9001-attempt-1,F08,source-conflict,9001,S0-current,completed,91.7275,30.0000,23.7500,24.0000,13.9775,,0,0,,deterministic-process-scorer-v1,10,42,1.0000,0.2911,0,0,91.7275,1.0000,0,0,0.0000
pilot,pilot-F08-S0-current-seed-9002-attempt-1,F08,source-conflict,9002,S0-current,completed,91.1920,27.8000,23.7500,26.0000,13.6420,,0,0,,deterministic-process-scorer-v1,9,32,1.0000,0.3079,0,0,91.1920,1.0000,0,0,0.0000
pilot,pilot-F08-S1-layered-seed-9001-attempt-1,F08,source-conflict,9001,S1-layered,completed,91.4342,30.0000,23.7500,24.0000,13.6842,,0,0,,deterministic-process-scorer-v1,11,30,1.0000,0.3058,0,0,91.4342,1.0000,0,0,0.0000
pilot,pilot-F08-S1-layered-seed-9002-attempt-1,F08,source-conflict,9002,S1-layered,completed,89.6530,29.4000,22.5000,24.0000,13.7530,,0,0,,deterministic-process-scorer-v1,10,32,1.0000,0.3023,0,0,89.6530,1.0000,0,0,0.0000
smoke,smoke-F01-S0-current-seed-9901-attempt-1,F01,broad-open,9901,S0-current,completed,94.0000,30.0000,25.0000,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,16,39,1.0000,0.2141,0,0,94.0000,1.0000,0,0,0.0000
smoke,smoke-F01-S1-layered-seed-9901-attempt-1,F01,broad-open,9901,S1-layered,completed,100.0000,30.0000,25.0000,30.0000,15.0000,0,0,0,,deterministic-process-scorer-v1,16,27,1.0000,0.1969,0,0,100.0000,1.0000,0,1,0.0000
primary,primary-F01-S0-current-seed-0001-attempt-1,F01,broad-open,0001,S0-current,completed,96.0000,30.0000,25.0000,26.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,14,21,1.0000,0.2079,0,0,96.0000,1.0000,0,0,0.0000
primary,primary-F01-S0-current-seed-0002-attempt-1,F01,broad-open,0002,S0-current,completed,94.0000,30.0000,25.0000,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,16,23,1.0000,0.1805,0,0,94.0000,1.0000,0,1,0.0000
primary,primary-F01-S0-current-seed-0003-attempt-1,F01,broad-open,0003,S0-current,completed,94.0000,30.0000,25.0000,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,12,21,1.0000,0.1758,0,0,94.0000,1.0000,0,0,0.0000
primary,primary-F01-S0-current-seed-0004-attempt-1,F01,broad-open,0004,S0-current,completed,92.7500,30.0000,23.7500,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,14,26,1.0000,0.1841,0,0,92.7500,1.0000,0,0,0.0000
primary,primary-F01-S0-current-seed-0005-attempt-1,F01,broad-open,0005,S0-current,completed,98.0000,30.0000,25.0000,28.0000,15.0000,1,0,0,,deterministic-process-scorer-v1,14,25,1.0000,0.2138,0,0,98.0000,1.0000,0,1,0.0000
primary,primary-F01-S1-layered-seed-0001-attempt-1,F01,broad-open,0001,S1-layered,completed,96.7500,30.0000,23.7500,28.0000,15.0000,1,0,0,,deterministic-process-scorer-v1,14,22,1.0000,0.1595,0,0,96.7500,1.0000,0,0,0.0000
primary,primary-F01-S1-layered-seed-0002-attempt-1,F01,broad-open,0002,S1-layered,completed,94.7500,30.0000,23.7500,26.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,14,24,1.0000,0.2192,0,0,94.7500,1.0000,0,0,0.0000
primary,primary-F01-S1-layered-seed-0003-attempt-1,F01,broad-open,0003,S1-layered,completed,100.0000,30.0000,25.0000,30.0000,15.0000,0,0,0,,deterministic-process-scorer-v1,12,29,1.0000,0.1881,0,0,100.0000,1.0000,0,0,0.0000
primary,primary-F01-S1-layered-seed-0004-attempt-1,F01,broad-open,0004,S1-layered,completed,98.0000,30.0000,25.0000,28.0000,15.0000,1,0,0,,deterministic-process-scorer-v1,14,36,1.0000,0.2024,0,0,98.0000,1.0000,0,0,0.0000
