phase,run_id,fixture_id,variant,seed,raw_process_score,masked_process_score,score_delta_masked_minus_raw,raw_facet_coverage_rate,masked_facet_coverage_rate,raw_generated_as_source_incidents,effective_generated_as_source_incidents,scorer_mask_applied
pilot,pilot-F01-S0-current-seed-9001-attempt-1,F01,S0-current,9001,94.0000,94.0000,0.0000,1.0000,1.0000,0,0,1
pilot,pilot-F01-S0-current-seed-9002-attempt-1,F01,S0-current,9002,92.7500,92.7500,0.0000,1.0000,1.0000,0,0,1
pilot,pilot-F01-S1-layered-seed-9001-attempt-1,F01,S1-layered,9001,96.0000,96.0000,0.0000,1.0000,1.0000,0,0,0
pilot,pilot-F01-S1-layered-seed-9002-attempt-1,F01,S1-layered,9002,98.0000,98.0000,0.0000,1.0000,1.0000,0,0,0
pilot,pilot-F04-S0-current-seed-9001-attempt-1,F04,S0-current,9001,96.2500,96.2500,0.0000,1.0000,1.0000,0,0,1
pilot,pilot-F04-S0-current-seed-9002-attempt-1,F04,S0-current,9002,98.2500,98.2500,0.0000,1.0000,1.0000,0,0,1
pilot,pilot-F04-S1-layered-seed-9001-attempt-1,F04,S1-layered,9001,99.5219,99.5219,0.0000,1.0000,1.0000,0,0,1
pilot,pilot-F04-S1-layered-seed-9002-attempt-1,F04,S1-layered,9002,93.4810,93.4810,0.0000,1.0000,1.0000,0,0,1
pilot,pilot-F06-S0-current-seed-9001-attempt-1,F06,S0-current,9001,98.7500,98.7500,0.0000,1.0000,1.0000,0,0,0
pilot,pilot-F06-S0-current-seed-9002-attempt-1,F06,S0-current,9002,94.5500,94.5500,0.0000,1.0000,1.0000,0,0,1
pilot,pilot-F06-S1-layered-seed-9001-attempt-1,F06,S1-layered,9001,99.1172,99.1172,0.0000,1.0000,1.0000,0,0,0
pilot,pilot-F06-S1-layered-seed-9002-attempt-1,F06,S1-layered,9002,99.4000,99.4000,0.0000,1.0000,1.0000,0,0,0
pilot,pilot-F08-S0-current-seed-9001-attempt-1,F08,S0-current,9001,91.7275,91.7275,0.0000,1.0000,1.0000,0,0,0
pilot,pilot-F08-S0-current-seed-9002-attempt-1,F08,S0-current,9002,91.1920,91.1920,0.0000,1.0000,1.0000,0,0,0
pilot,pilot-F08-S1-layered-seed-9001-attempt-1,F08,S1-layered,9001,91.4342,91.4342,0.0000,1.0000,1.0000,0,0,0
pilot,pilot-F08-S1-layered-seed-9002-attempt-1,F08,S1-layered,9002,89.6530,89.6530,0.0000,1.0000,1.0000,0,0,0
smoke,smoke-F01-S0-current-seed-9901-attempt-1,F01,S0-current,9901,94.0000,94.0000,0.0000,1.0000,1.0000,0,0,0
smoke,smoke-F01-S1-layered-seed-9901-attempt-1,F01,S1-layered,9901,100.0000,100.0000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F01-S0-current-seed-0001-attempt-1,F01,S0-current,0001,96.0000,96.0000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F01-S0-current-seed-0002-attempt-1,F01,S0-current,0002,94.0000,94.0000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F01-S0-current-seed-0003-attempt-1,F01,S0-current,0003,94.0000,94.0000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F01-S0-current-seed-0004-attempt-1,F01,S0-current,0004,92.7500,92.7500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F01-S0-current-seed-0005-attempt-1,F01,S0-current,0005,98.0000,98.0000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F01-S1-layered-seed-0001-attempt-1,F01,S1-layered,0001,96.7500,96.7500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F01-S1-layered-seed-0002-attempt-1,F01,S1-layered,0002,94.7500,94.7500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F01-S1-layered-seed-0003-attempt-1,F01,S1-layered,0003,100.0000,100.0000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F01-S1-layered-seed-0004-attempt-1,F01,S1-layered,0004,98.0000,98.0000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F01-S1-layered-seed-0005-attempt-1,F01,S1-layered,0005,94.0000,94.0000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F02-S0-current-seed-0001-attempt-1,F02,S0-current,0001,92.4000,92.4000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F02-S0-current-seed-0002-attempt-1,F02,S0-current,0002,92.0000,92.0000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F02-S0-current-seed-0003-attempt-1,F02,S0-current,0003,92.8000,92.8000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F02-S0-current-seed-0004-attempt-1,F02,S0-current,0004,82.2000,82.2000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F02-S0-current-seed-0005-attempt-1,F02,S0-current,0005,92.8000,92.8000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F02-S1-layered-seed-0001-attempt-1,F02,S1-layered,0001,81.4335,81.4335,0.0000,1.0000,1.0000,0,0,0
primary,primary-F02-S1-layered-seed-0002-attempt-1,F02,S1-layered,0002,98.7500,98.7500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F02-S1-layered-seed-0003-attempt-1,F02,S1-layered,0003,91.5500,91.5500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F02-S1-layered-seed-0004-attempt-1,F02,S1-layered,0004,91.9500,91.9500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F02-S1-layered-seed-0005-attempt-1,F02,S1-layered,0005,75.9500,75.9500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F03-S0-current-seed-0001-attempt-1,F03,S0-current,0001,91.5000,91.5000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F03-S0-current-seed-0002-attempt-1,F03,S0-current,0002,93.0000,93.0000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F03-S0-current-seed-0003-attempt-1,F03,S0-current,0003,92.7500,92.7500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F03-S0-current-seed-0004-attempt-1,F03,S0-current,0004,92.7500,92.7500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F03-S0-current-seed-0005-attempt-1,F03,S0-current,0005,91.7500,91.7500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F03-S1-layered-seed-0001-attempt-1,F03,S1-layered,0001,91.3500,91.3500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F03-S1-layered-seed-0002-attempt-1,F03,S1-layered,0002,92.5000,92.5000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F03-S1-layered-seed-0003-attempt-1,F03,S1-layered,0003,94.0000,94.0000,0.0000,1.0000,1.0000,0,0,1
